date,year,month,quarter,gpu_generation,provider_generation,market_phase,event_count,source_count,timeline_version,created_at
2018-01-01,2018,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834909+00:00
2018-02-01,2018,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834910+00:00
2018-03-01,2018,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834911+00:00
2018-04-01,2018,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834913+00:00
2018-05-01,2018,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834914+00:00
2018-06-01,2018,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834915+00:00
2018-07-01,2018,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834916+00:00
2018-08-01,2018,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834917+00:00
2018-09-01,2018,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834918+00:00
2018-10-01,2018,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834919+00:00
2018-11-01,2018,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834920+00:00
2018-12-01,2018,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834921+00:00
2019-01-01,2019,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834923+00:00
2019-02-01,2019,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834924+00:00
2019-03-01,2019,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834925+00:00
2019-04-01,2019,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834927+00:00
2019-05-01,2019,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834928+00:00
2019-06-01,2019,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834929+00:00
2019-07-01,2019,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834930+00:00
2019-08-01,2019,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834931+00:00
2019-09-01,2019,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834933+00:00
2019-10-01,2019,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834934+00:00
2019-11-01,2019,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834935+00:00
2019-12-01,2019,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834936+00:00
2020-01-01,2020,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834937+00:00
2020-02-01,2020,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834938+00:00
2020-03-01,2020,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834940+00:00
2020-04-01,2020,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834941+00:00
2020-05-01,2020,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834942+00:00
2020-06-01,2020,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834944+00:00
2020-07-01,2020,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834945+00:00
2020-08-01,2020,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834947+00:00
2020-09-01,2020,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834948+00:00
2020-10-01,2020,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834949+00:00
2020-11-01,2020,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834950+00:00
2020-12-01,2020,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834951+00:00
2021-01-01,2021,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834952+00:00
2021-02-01,2021,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834953+00:00
2021-03-01,2021,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834954+00:00
2021-04-01,2021,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834955+00:00
2021-05-01,2021,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834956+00:00
2021-06-01,2021,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834958+00:00
2021-07-01,2021,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834959+00:00
2021-08-01,2021,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834960+00:00
2021-09-01,2021,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834961+00:00
2021-10-01,2021,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834962+00:00
2021-11-01,2021,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834964+00:00
2021-12-01,2021,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834965+00:00
2022-01-01,2022,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834966+00:00
2022-02-01,2022,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834968+00:00
2022-03-01,2022,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834969+00:00
2022-04-01,2022,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834970+00:00
2022-05-01,2022,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834971+00:00
2022-06-01,2022,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834973+00:00
2022-07-01,2022,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834974+00:00
2022-08-01,2022,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834976+00:00
2022-09-01,2022,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834977+00:00
2022-10-01,2022,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834978+00:00
2022-11-01,2022,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834979+00:00
2022-12-01,2022,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834980+00:00
2023-01-01,2023,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834981+00:00
2023-02-01,2023,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834983+00:00
2023-03-01,2023,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834984+00:00
2023-04-01,2023,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834985+00:00
2023-05-01,2023,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834986+00:00
2023-06-01,2023,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834987+00:00
2023-07-01,2023,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834988+00:00
2023-08-01,2023,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834989+00:00
2023-09-01,2023,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834990+00:00
2023-10-01,2023,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834991+00:00
2023-11-01,2023,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834993+00:00
2023-12-01,2023,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834994+00:00
2024-01-01,2024,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834995+00:00
2024-02-01,2024,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834996+00:00
2024-03-01,2024,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834997+00:00
2024-04-01,2024,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834998+00:00
2024-05-01,2024,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834999+00:00
2024-06-01,2024,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.835000+00:00
2024-07-01,2024,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.835001+00:00
2024-08-01,2024,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.835002+00:00
2024-09-01,2024,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.835003+00:00
2024-10-01,2024,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.835004+00:00
2024-11-01,2024,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.835005+00:00
2024-12-01,2024,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.835006+00:00
2025-01-01,2025,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.835008+00:00
2025-02-01,2025,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.835009+00:00
2025-03-01,2025,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.835010+00:00
2025-04-01,2025,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.835011+00:00
2025-05-01,2025,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.835012+00:00
2025-06-01,2025,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.835014+00:00
2025-07-01,2025,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.835015+00:00
2025-08-01,2025,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.835016+00:00
2025-09-01,2025,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.835017+00:00
2025-10-01,2025,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.835018+00:00
2025-11-01,2025,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.835019+00:00
2025-12-01,2025,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.835021+00:00
2026-01-01,2026,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.835022+00:00
2026-02-01,2026,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.835024+00:00
2026-03-01,2026,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.835025+00:00
2026-04-01,2026,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.835026+00:00
2026-05-01,2026,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.835027+00:00
2026-06-01,2026,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.835028+00:00
2026-07-01,2026,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.835029+00:00
2026-08-01,2026,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.835030+00:00
2026-09-01,2026,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.835031+00:00
2026-10-01,2026,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.835032+00:00
2026-11-01,2026,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.835033+00:00
2026-12-01,2026,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.835035+00:00
