module_path,layer,module_type,status
analytics/founder_dashboard_summary.py,web,python,active
analytics/founder_operating_dashboard.py,web,python,active
analytics/frontier_gpu_index.py,platform,python,active
analytics/gpu_category_index.py,platform,python,active
analytics/gpu_market_brief.py,platform,python,active
analytics/gpu_market_movers.py,platform,python,active
analytics/gpu_price_trend_signal.py,intelligence,python,active
analytics/gpu_price_volatility.py,platform,python,active
analytics/gpu_scarcity_index.py,intelligence,python,active
analytics/gpu_watchlist_intelligence.py,intelligence,python,active
analytics/historical_data_quality.py,platform,python,active
analytics/historical_registry_framework.py,registry,python,active
analytics/historical_trends.py,platform,python,active
analytics/history_health.py,platform,python,active
analytics/history_summary.py,platform,python,active
analytics/index_history.py,platform,python,active
analytics/intelligence_signal_score.py,intelligence,python,active
analytics/investor_brief.py,platform,python,active
analytics/investor_dashboard.py,web,python,active
analytics/investor_metrics.py,platform,python,active
analytics/investor_snapshot.py,platform,python,active
analytics/kpi_dashboard.py,web,python,active
analytics/launch_readiness.py,platform,python,active
analytics/live_data_quality_score.py,platform,python,active
analytics/live_gpu_alerts.py,platform,python,active
analytics/live_gpu_price_history.py,platform,python,active
analytics/live_gpu_price_index.py,platform,python,active
analytics/live_gpu_rankings.py,intelligence,python,active
analytics/live_offer_summary.py,platform,python,active
analytics/live_provider_dominance.py,platform,python,active
analytics/live_provider_ingest.py,platform,python,active
analytics/live_provider_market_share.py,platform,python,active
analytics/live_provider_status.py,platform,python,active
analytics/market_data_moat_status.py,platform,python,active
analytics/market_intelligence_snapshot.py,intelligence,python,active
analytics/market_regime.py,platform,python,active
analytics/monetization_readiness.py,platform,python,active
analytics/operational_status.py,platform,python,active
analytics/platform_health.py,platform,python,active
analytics/predictor.py,platform,python,active
analytics/pricing_tiers.py,platform,python,active
analytics/product_readiness_score.py,platform,python,active
analytics/product_terminal_readiness.py,platform,python,active
analytics/production_readiness.py,platform,python,active
analytics/provider_comparison.py,platform,python,active
analytics/provider_concentration.py,platform,python,active
analytics/provider_coverage_score.py,platform,python,active
analytics/provider_credentials.py,platform,python,active
analytics/provider_daily_metrics.py,platform,python,active
analytics/provider_data_mode.py,platform,python,active
analytics/provider_dominance_index.py,platform,python,active
analytics/provider_health.py,platform,python,active
analytics/provider_history.py,platform,python,active
analytics/provider_intelligence_readiness.py,intelligence,python,active
analytics/provider_live_readiness.py,platform,python,active
analytics/provider_market_share_history.py,platform,python,active
analytics/provider_marketshare.py,platform,python,active
analytics/provider_rankings.py,intelligence,python,active
analytics/provider_readiness.py,platform,python,active
analytics/provider_reliability_ranking.py,intelligence,python,active
analytics/public_beta_status.py,platform,python,active
analytics/public_usage_snapshot.py,platform,python,active
analytics/research_snapshot.py,platform,python,active
analytics/run_analytics_queries.py,platform,python,active
analytics/run_forecast_engine_v1.py,forecast,python,active
analytics/run_pipeline.py,platform,python,active
analytics/runpod_live_report.py,platform,python,active
analytics/sales_readiness.py,platform,python,active
analytics/scarcity_watchlist.py,intelligence,python,active
analytics/shortage_probability.py,platform,python,active
analytics/startup_check.py,platform,python,active
analytics/system_event.py,platform,python,active
analytics/terminal_risk_score.py,platform,python,active
analytics/terminal_summary.py,platform,python,active
analytics/terminal_trend_history.py,platform,python,active
analytics/test_provider_adapters.py,platform,python,active
analytics/test_runpod_real.py,platform,python,active
analytics/test_vast_real.py,platform,python,active
analytics/time_series_forecast.py,forecast,python,active
analytics/trend_engine.py,platform,python,active
analytics/trust_status.py,platform,python,active
analytics/usage_metrics.py,platform,python,active
analytics/validate_all_registries.py,platform,python,active
analytics/validate_registry.py,registry,python,active
analytics/validate_registry_schema.py,registry,python,active
analytics/validate_source_registry_links.py,registry,python,active
analytics/vast_live_report.py,platform,python,active
analytics/warehouse_metrics.py,platform,python,active
analytics/weekly_infrastructure_report.py,platform,python,active
api/__init__.py,api,python,active
api/auth_routes.py,api,python,active
api/main.py,api,python,active
api/metrics.py,api,python,active
api/routes.py,api,python,active
collectors/__init__.py,collection,python,active
collectors/collect_gpu_data.py,collection,python,active
collectors/collect_market_data.py,collection,python,active
collectors/providers/__init__.py,collection,python,active
collectors/providers/base.py,collection,python,active
collectors/providers/coreweave.py,collection,python,active
collectors/providers/crusoe.py,collection,python,active
collectors/providers/lambda.py,collection,python,active
collectors/providers/lambda_labs.py,collection,python,active
collectors/providers/live_registry.py,collection,python,active
collectors/providers/manual.py,collection,python,active
collectors/providers/nebius.py,collection,python,active
collectors/providers/provider_registry.py,collection,python,active
collectors/providers/provider_schema.py,collection,python,active
collectors/providers/runpod.py,collection,python,active
collectors/providers/runpod_real.py,collection,python,active
collectors/providers/vast.py,collection,python,active
collectors/providers/vast_real.py,collection,python,active
providers/__init__.py,platform,python,active
providers/connectors/__init__.py,collection,python,active
providers/connectors/base_connector.py,collection,python,active
providers/connectors/collector.py,collection,python,active
providers/connectors/coreweave_connector.py,collection,python,active
providers/connectors/crusoe_connector.py,collection,python,active
providers/connectors/lambda_connector.py,collection,python,active
providers/connectors/nebius_connector.py,collection,python,active
providers/connectors/registry.py,collection,python,active
providers/connectors/runpod_connector.py,collection,python,active
providers/connectors/runpod_live_connector.py,collection,python,active
providers/connectors/vast_connector.py,collection,python,active
providers/connectors/vast_live_connector.py,collection,python,active
providers/provider_registry.py,registry,python,active
data_layer/__init__.py,platform,python,active
data_layer/dynamic_snapshot_pipeline.py,platform,python,active
data_layer/executive_intelligence_pipeline.py,intelligence,python,active
data_layer/market_strength_pipeline.py,platform,python,active
data_layer/provider_data_pipeline.py,platform,python,active
data_layer/provider_scoring_pipeline.py,platform,python,active
data_layer/trend_engine.py,platform,python,active
data_layer/unified_provider_schema.py,platform,python,active
web/app.js,web,other,active
web/assets/css/style.css,web,other,active
web/assets/js/api.js,web,other,active
web/assets/js/app.js,web,other,active
web/components/card.html,web,web,active
web/components/layout.html,web,web,active
web/index.html,web,web,active
web/pages/analytics.html,web,web,active
web/pages/api.html,web,web,active
web/pages/dashboard.html,web,web,active
web/pages/decision.html,decision,web,active
web/pages/documentation.html,web,web,active
web/pages/executive.html,decision,web,active
web/pages/forecast.html,forecast,web,active
web/pages/governance.html,web,web,active
web/pages/infrastructure.html,web,web,active
web/pages/registry.html,registry,web,active
reports/ai_rpct_master_architecture_v1.md,reports,report,active
reports/amd_historical_gpu_registry_v1.md,registry,report,active
reports/analytics_dashboard.md,web,report,active
reports/analytics_queries.md,reports,report,active
reports/architecture_audit/analytics_modules.txt,reports,other,active
reports/architecture_audit/api_modules.txt,reports,other,active
reports/architecture_audit/competitive_moat.md,reports,report,active
reports/architecture_audit/core_capabilities.md,reports,report,active
reports/architecture_audit/customer_decision_framework.md,decision,report,active
reports/architecture_audit/data_flow.md,reports,report,active
reports/architecture_audit/data_modules.txt,reports,other,active
reports/architecture_audit/development_rules.md,reports,report,active
reports/architecture_audit/engineering_manifesto.md,reports,report,active
reports/architecture_audit/master_roadmap.md,reports,report,active
reports/architecture_audit/module_lifecycle.md,reports,report,active
reports/architecture_audit/platform_kpis.md,reports,report,active
reports/architecture_audit/platform_layers.md,reports,report,active
reports/architecture_audit/product_vision_2030.md,reports,report,active
reports/architecture_audit/project_tree.txt,reports,other,active
reports/architecture_audit/reports_modules.txt,reports,other,active
reports/architecture_audit/single_source_of_truth.md,reports,report,active
reports/architecture_audit/technology_principles.md,reports,report,active
reports/architecture_audit/web_modules.txt,reports,other,active
reports/cloud_provider_registry_v2.md,registry,report,active
reports/cuda_timeline_v1.md,reports,report,active
reports/daily_intelligence_summary_20260617.txt,intelligence,other,active
reports/daily_terminal_brief_20260617.txt,reports,other,active
reports/data_lineage_registry_v1.md,registry,report,active
reports/data_quality_metrics_v1.md,reports,report,active
reports/dependency_graph.md,reports,report,active
reports/duckdb_analytics_layer_v1.md,reports,report,active
reports/executive_ai_infrastructure_memo_20260617.txt,decision,other,active
reports/feature_store_v1.md,reports,report,active
reports/forecast_dataset_governance_v1.md,forecast,report,active
reports/forecast_dataset_v1.md,forecast,report,active
reports/forecast_engine_v1.md,forecast,report,active
reports/forecast_explainability_v1.md,forecast,report,active
reports/global_registry_validation_framework_v1.md,registry,report,active
reports/historical_capacity_registry_v1.md,registry,report,active
reports/historical_data_quality_framework_v1.md,reports,report,active
reports/historical_entity_registry_v1.md,registry,report,active
reports/historical_pricing_registry_v1.md,registry,report,active
reports/historical_registry_framework_v1.md,registry,report,active
reports/historical_relationship_registry_v1.md,registry,report,active
reports/historical_source_registry_v1.md,registry,report,active
reports/intel_historical_gpu_registry_v1.md,registry,report,active
reports/investor_brief.txt,reports,other,active
reports/investor_snapshot_20260617.txt,reports,other,active
reports/market_intelligence_snapshot_20260617.txt,intelligence,other,active
reports/nvidia_historical_gpu_registry_v1.md,registry,report,active
reports/oneapi_timeline_v1.md,reports,report,active
reports/package_scaffold_v1.md,reports,report,active
reports/pipeline_dashboard.md,web,report,active
reports/provider_entity_registry_v1.md,registry,report,active
reports/provider_relationship_registry_v1.md,registry,report,active
reports/registry_explorer.md,registry,report,active
reports/registry_schema_framework_v1.md,registry,report,active
reports/release_report.md,reports,report,active
reports/report_20260616.txt,reports,other,active
reports/report_20260617.txt,reports,other,active
reports/research_snapshot_20260616.md,reports,report,active
reports/research_snapshot_20260617.md,reports,report,active
reports/rocm_timeline_v1.md,reports,report,active
reports/synapseai_timeline_v1.md,reports,report,active
reports/unified_accelerator_registry_v1.md,registry,report,active
reports/unified_hardware_registry_v1.md,registry,report,active
reports/unified_software_stack_registry_v1.md,registry,report,active
reports/weekly_infrastructure_report_20260617.txt,reports,other,active
