model_name,provider,gpu,baseline_prediction,baseline_confidence,support_rows,training_rows
learning_baseline_model_v1,runpod,RTX 6000 Ada,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX A2000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX A4000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX A4500,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX A5000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX A6000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX PRO 4000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX PRO 4500,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX PRO 5000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX PRO 6000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX PRO 6000 MaxQ,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX PRO 6000 WK,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,Tesla V100,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,V100 SXM2,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,unknown,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,A100 PCIe,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,A100 SXM,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,A100 SXM 40GB,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,A40,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,B200,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,B300,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,B300 MIG 34GB,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,H100 NVL,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,H100 PCIe,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,H100 SXM,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,H200 NVL,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,H200 SXM,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,L4,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,L40,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,L40S,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,MI300X,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,NVIDIA GeForce GTX 1050,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,NVIDIA GeForce GTX 1050 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,PRO 6000 MIG 24GB,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,PRO 6000 MIG 48GB,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 2000 Ada,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 3070,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 3080,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 3080 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 3090,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 3090 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 4000 Ada,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 4000 Ada SFF,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 4070 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 4080,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 4080 SUPER,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 4090,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 5000 Ada,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 5080,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 5090,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX 6000 Ada,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX A2000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX A4000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX A4500,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX A5000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX A6000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX PRO 4000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX PRO 4500,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX PRO 5000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX PRO 6000,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX PRO 6000 MaxQ,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,RTX PRO 6000 WK,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,Tesla V100,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,V100 SXM2,tight_market,100.0,1,1
learning_baseline_model_v1,runpod_real,unknown,tight_market,100.0,1,1
learning_baseline_model_v1,vast,A100 PCIE,tight_market,100.0,1,1
learning_baseline_model_v1,vast,A800 PCIE,tight_market,100.0,1,1
learning_baseline_model_v1,vast,B200,tight_market,100.0,1,1
learning_baseline_model_v1,vast,H100 NVL,capacity_crunch,100.0,1,1
learning_baseline_model_v1,vast,H100 SXM,tight_market,100.0,1,1
learning_baseline_model_v1,vast,H200,volatile_market,100.0,1,1
learning_baseline_model_v1,vast,H200 NVL,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 3090,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 4070S Ti,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 4090,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 4090D,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 5060,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 5060 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 5070,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 5070 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 5080,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 5090,volatile_market,100.0,1,1
learning_baseline_model_v1,vast,RTX 6000Ada,capacity_crunch,100.0,1,1
learning_baseline_model_v1,vast,RTX PRO 4000,tight_market,100.0,1,1
learning_baseline_model_v1,vast,RTX PRO 5000,capacity_crunch,100.0,1,1
learning_baseline_model_v1,vast,RTX PRO 6000 S,volatile_market,100.0,1,1
learning_baseline_model_v1,vast,RTX PRO 6000 WS,volatile_market,100.0,1,1
learning_baseline_model_v1,vast,Tesla V100,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,A100 PCIE,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,A800 PCIE,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,B200,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,B300,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,H100 NVL,capacity_crunch,100.0,1,1
learning_baseline_model_v1,vast_real,H100 SXM,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,H200,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,H200 NVL,capacity_crunch,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 3090,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 4070,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 4070S Ti,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 4090,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 4090D,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 5060,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 5060 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 5070,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 5070 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 5080,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 5090,volatile_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX 6000Ada,capacity_crunch,100.0,1,1
learning_baseline_model_v1,vast_real,RTX PRO 4000,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX PRO 5000,capacity_crunch,100.0,1,1
learning_baseline_model_v1,vast_real,RTX PRO 6000 S,volatile_market,100.0,1,1
learning_baseline_model_v1,vast_real,RTX PRO 6000 WS,tight_market,100.0,1,1
learning_baseline_model_v1,vast_real,Tesla V100,tight_market,100.0,1,1
