provider,gpu,market_regime,confidence,records,avg_price,availability_sum,price_spread
vast,RTX 3090,tight_market,60,12,0.2119,12.0,0.1644
vast,RTX 4070S Ti,tight_market,60,6,0.2037,6.0,0.1319
vast,RTX 4090,tight_market,60,18,0.6322,18.0,0.5837
vast,RTX 4090D,tight_market,60,3,0.6022,3.0,0.0
vast,RTX 5060,tight_market,60,3,0.0689,3.0,0.0
vast,RTX 5060 Ti,tight_market,60,9,0.1689,9.0,0.1533
vast,RTX 5070,tight_market,60,6,0.1276,6.0,0.0175
vast,RTX 5070 Ti,tight_market,60,6,0.3026,6.0,0.1978
vast,RTX 5080,tight_market,60,3,0.2178,3.0,0.0
vast,RTX 5090,volatile_market,70,42,1.4507,42.0,5.4504
vast,RTX 6000Ada,capacity_crunch,60,9,1.2029,9.0,1.0643
vast,RTX PRO 4000,tight_market,60,9,0.4378,9.0,0.3215
vast,RTX PRO 5000,capacity_crunch,60,9,1.0773,9.0,0.6667
vast,RTX PRO 6000 S,volatile_market,70,36,3.3734,36.0,6.3228
vast,RTX PRO 6000 WS,volatile_market,70,27,2.8551,27.0,9.1978
vast,Tesla V100,tight_market,60,15,0.062,15.0,0.1307
vast_real,A100 PCIE,tight_market,60,1,1.0022,1.0,0.0
vast_real,A800 PCIE,tight_market,60,1,0.6689,1.0,0.0
vast_real,B200,tight_market,60,12,6.2827,12.0,7.8125
vast_real,B300,tight_market,60,1,15.0021,1.0,0.0
vast_real,H100 NVL,capacity_crunch,60,4,3.2499,4.0,2.596
vast_real,H100 SXM,tight_market,60,11,7.5201,11.0,17.057
vast_real,H200,tight_market,60,17,10.691,17.0,28.0439
vast_real,H200 NVL,capacity_crunch,60,9,3.839,9.0,7.3849
vast_real,RTX 3090,tight_market,60,7,0.2183,7.0,0.1644
vast_real,RTX 4070,tight_market,60,1,0.0781,1.0,0.0
vast_real,RTX 4070S Ti,tight_market,60,4,0.2037,4.0,0.1319
vast_real,RTX 4090,tight_market,60,14,0.596,14.0,0.6719
vast_real,RTX 4090D,tight_market,60,1,0.6022,1.0,0.0
vast_real,RTX 5060,tight_market,60,1,0.0689,1.0,0.0
vast_real,RTX 5060 Ti,tight_market,60,7,0.1516,7.0,0.1533
vast_real,RTX 5070,tight_market,60,4,0.1525,4.0,0.1173
vast_real,RTX 5070 Ti,tight_market,60,5,0.2427,5.0,0.2659
vast_real,RTX 5080,tight_market,60,3,0.2262,3.0,0.0252
vast_real,RTX 5090,volatile_market,70,29,1.4821,29.0,5.4504
vast_real,RTX 6000Ada,capacity_crunch,60,5,1.3359,5.0,1.0643
vast_real,RTX PRO 4000,tight_market,60,4,0.4352,4.0,0.3215
vast_real,RTX PRO 5000,capacity_crunch,60,5,1.0603,5.0,0.6667
vast_real,RTX PRO 6000 S,volatile_market,70,26,3.4938,26.0,6.3228
vast_real,RTX PRO 6000 WS,tight_market,60,18,2.871,18.0,9.1978
vast_real,Tesla V100,tight_market,60,10,0.062,10.0,0.1307
